source_row,group_label,token,kind,reason
40,"ОПн59-65, 77, 102, 103",77,single,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
40,"ОПн59-65, 77, 102, 103",102,single,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
40,"ОПн59-65, 77, 102, 103",103,single,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
42,"ОПн67-76, 78-94, 95-101,
104-111,187, 191-196,199
227-241, 243-253.2",ОПн67-76,range,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
42,"ОПн67-76, 78-94, 95-101,
104-111,187, 191-196,199
227-241, 243-253.2",78-94,range,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
42,"ОПн67-76, 78-94, 95-101,
104-111,187, 191-196,199
227-241, 243-253.2",95-101,range,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
42,"ОПн67-76, 78-94, 95-101,
104-111,187, 191-196,199
227-241, 243-253.2",104-111,range,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
42,"ОПн67-76, 78-94, 95-101,
104-111,187, 191-196,199
227-241, 243-253.2",187,single,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
42,"ОПн67-76, 78-94, 95-101,
104-111,187, 191-196,199
227-241, 243-253.2",191-196,range,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
42,"ОПн67-76, 78-94, 95-101,
104-111,187, 191-196,199
227-241, 243-253.2",199 227-241,literal,"текст «199 227-241» не найден ни буквально, ни без скобочного уточнения"
42,"ОПн67-76, 78-94, 95-101,
104-111,187, 191-196,199
227-241, 243-253.2",243-253.2,range,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
44,ОПв10-12,ОПв10-12,range,"префикс «опв» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр, ОПВ) — не сужаю вслепую"
46,"ОПн118-120.1, 123, 124, 153",ОПн118-120.1,range,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
46,"ОПн118-120.1, 123, 124, 153",123,single,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
46,"ОПн118-120.1, 123, 124, 153",124,single,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
46,"ОПн118-120.1, 123, 124, 153",153,single,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
48,ОПв13-15,ОПв13-15,range,"префикс «опв» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр, ОПВ) — не сужаю вслепую"
50,ОПн125 - ОПН143,ОПн125 - ОПН143,literal,"текст «ОПн125 - ОПН143» не найден ни буквально, ни без скобочного уточнения"
52,Н19-22,Н19-22,range,"префикс «н» встречается в нескольких вкладках (1. ОПН, Н, НО в лотках) — не сужаю вслепую"
54,"ОПв15.1, 15.2, 16-18",ОПв15.1,single,"префикс «опв» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр, ОПВ) — не сужаю вслепую"
54,"ОПв15.1, 15.2, 16-18",15.2,single,"префикс «опв» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр, ОПВ) — не сужаю вслепую"
54,"ОПв15.1, 15.2, 16-18",16-18,range,"префикс «опв» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр, ОПВ) — не сужаю вслепую"
56,ОПв19-24,ОПв19-24,range,"префикс «опв» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр, ОПВ) — не сужаю вслепую"
58,Н23-35,Н23-35,range,"префикс «н» встречается в нескольких вкладках (1. ОПН, Н, НО в лотках) — не сужаю вслепую"
60,"ОПн54-166, 253.3",ОПн54-166,range,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
60,"ОПн54-166, 253.3",253.3,single,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
62,"ОПн167-186, 188-190, 197,198, 200-226",ОПн167-186,range,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
62,"ОПн167-186, 188-190, 197,198, 200-226",188-190,range,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
62,"ОПн167-186, 188-190, 197,198, 200-226",197,single,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
62,"ОПн167-186, 188-190, 197,198, 200-226",198,single,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
62,"ОПн167-186, 188-190, 197,198, 200-226",200-226,range,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
71,УТ-1+полы,УТ-1,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
71,УТ-1+полы,полы,literal,"текст «полы» не найден ни буквально, ни без скобочного уточнения"
77,УТ-1.1+полы,УТ-1.1,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
77,УТ-1.1+полы,полы,literal,"текст «полы» не найден ни буквально, ни без скобочного уточнения"
89,УТ-2+полы,УТ-2,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
89,УТ-2+полы,полы,literal,"текст «полы» не найден ни буквально, ни без скобочного уточнения"
93,УТ-2.1+полы,УТ-2.1,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
93,УТ-2.1+полы,полы,literal,"текст «полы» не найден ни буквально, ни без скобочного уточнения"
97,УТ-2.2,УТ-2.2,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
100,ОПв1-Н8,ОПв1-Н8,literal,"текст «ОПв1-Н8» не найден ни буквально, ни без скобочного уточнения"
105,Н8-Н19,Н8-Н19,literal,"текст «Н8-Н19» не найден ни буквально, ни без скобочного уточнения"
107,Н19-УТ2,Н19-УТ2,literal,"текст «Н19-УТ2» не найден ни буквально, ни без скобочного уточнения"
109,УТ2-УТ2.2,УТ2-УТ2.2,literal,"текст «УТ2-УТ2.2» не найден ни буквально, ни без скобочного уточнения"
113,Прочие работы в рамках участка,Прочие работы в рамках участка,literal,"текст «Прочие работы в рамках участка» не найден ни буквально, ни без скобочного уточнения"
115,Обвязка камер,Обвязка камер,literal,"текст «Обвязка камер» не найден ни буквально, ни без скобочного уточнения"
116,УТ-1,УТ-1,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
118,УТ-1.1,УТ-1.1,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
120,УТ-2,УТ-2,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
122,УТ-2.1,УТ-2.1,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
124,УТ-2.2,УТ-2.2,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
126,Обратная засыпка с планировкой территории,Обратная засыпка с планировкой территории,literal,"текст «Обратная засыпка с планировкой территории» не найден ни буквально, ни без скобочного уточнения"
130,КР1,КР1,single,"префикс «кр» встречается в нескольких вкладках (Камеры, Обвязка) — не сужаю вслепую"
132,УТ-3,УТ-3,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
136,КМ3,КМ3,single,"префикс «км» встречается в нескольких вкладках (Камеры, Обвязка, Электрика) — не сужаю вслепую"
138,КР2,КР2,single,"префикс «кр» встречается в нескольких вкладках (Камеры, Обвязка) — не сужаю вслепую"
142,УТ4,УТ4,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
145,"УТ2.2-КР1, УТ3-КМ3, КР2-УТ4",КР2-УТ4,literal,"текст «КР2-УТ4» совпал буквально с несколькими разделами: [438, 1032]"
151,Прочие работы в рамках участка,Прочие работы в рамках участка,literal,"текст «Прочие работы в рамках участка» не найден ни буквально, ни без скобочного уточнения"
164,Обратная засыпка с планировкой территории,Обратная засыпка с планировкой территории,literal,"текст «Обратная засыпка с планировкой территории» не найден ни буквально, ни без скобочного уточнения"
168,Н57,Н57,single,"префикс «н» встречается в нескольких вкладках (1. ОПН, Н, НО в лотках) — не сужаю вслепую"
170,ОПн254-273.1,ОПн254-273.1,range,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
172,"Н70, 71, 76",Н70,single,"префикс «н» встречается в нескольких вкладках (1. ОПН, Н, НО в лотках) — не сужаю вслепую"
172,"Н70, 71, 76",71,single,"префикс «н» встречается в нескольких вкладках (1. ОПН, Н, НО в лотках) — не сужаю вслепую"
172,"Н70, 71, 76",76,single,"префикс «н» встречается в нескольких вкладках (1. ОПН, Н, НО в лотках) — не сужаю вслепую"
174,"Н72, Н77",Н72,single,"префикс «н» встречается в нескольких вкладках (1. ОПН, Н, НО в лотках) — не сужаю вслепую"
174,"Н72, Н77",Н77,single,"префикс «н» встречается в нескольких вкладках (1. ОПН, Н, НО в лотках) — не сужаю вслепую"
176,ОПн274-299,ОПн274-299,range,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
178,Н73-75,Н73-75,range,"префикс «н» встречается в нескольких вкладках (1. ОПН, Н, НО в лотках) — не сужаю вслепую"
180,ОПн300-304,ОПн300-304,range,"префикс «опн» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр) — не сужаю вслепую"
182,"ОПв24.1, 25, 26",ОПв24.1,single,"префикс «опв» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр, ОПВ) — не сужаю вслепую"
182,"ОПв24.1, 25, 26",25,single,"префикс «опв» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр, ОПВ) — не сужаю вслепую"
182,"ОПв24.1, 25, 26",26,single,"префикс «опв» встречается в нескольких вкладках (1. ОПН, 2. ОПН (рсм), Мет констр, ОПВ) — не сужаю вслепую"
185,УТ10,УТ10,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
187,УТ11,УТ11,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
191,УТ12,УТ12,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
193,УТ13,УТ13,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
199,КР2.1,КР2.1,single,"префикс «кр» встречается в нескольких вкладках (Камеры, Обвязка) — не сужаю вслепую"
201,КМ4,КМ4,single,"префикс «км» встречается в нескольких вкладках (Камеры, Обвязка, Электрика) — не сужаю вслепую"
203,УТ15,УТ15,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
207,УТ15.1,УТ15.1,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
209,УТ15.2,УТ15.2,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
213,КР3,КР3,single,"префикс «кр» встречается в нескольких вкладках (Камеры, Обвязка) — не сужаю вслепую"
215,УТ16,УТ16,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
217,КМ5,КМ5,single,"префикс «км» встречается в нескольких вкладках (Камеры, Обвязка, Электрика) — не сужаю вслепую"
220,"УТ12-КМ4, УТ15-УТ15.1",УТ15-УТ15.1,literal,"текст «УТ15-УТ15.1» совпал буквально с несколькими разделами: [453, 978, 1521]"
224,КМ4-УТ15,КМ4-УТ15,literal,"текст «КМ4-УТ15» совпал буквально с несколькими разделами: [977, 1520]"
230,УТ15.2-КМ5,УТ15.2-КМ5,literal,"текст «УТ15.2-КМ5» не найден ни буквально, ни без скобочного уточнения"
233,УТ16-КМ5,УТ16-КМ5,literal,"текст «УТ16-КМ5» совпал буквально с несколькими разделами: [461, 1524]"
235,Прочие работы в рамках участка,Прочие работы в рамках участка,literal,"текст «Прочие работы в рамках участка» не найден ни буквально, ни без скобочного уточнения"
262,Обратная засыпка с планировкой территории,Обратная засыпка с планировкой территории,literal,"текст «Обратная засыпка с планировкой территории» не найден ни буквально, ни без скобочного уточнения"
266,УТ4-УТ7,УТ4-УТ7,literal,"текст «УТ4-УТ7» совпал буквально с несколькими разделами: [439, 973, 1029]"
268,УТ7-УТ9,УТ7-УТ9,literal,"текст «УТ7-УТ9» совпал буквально с несколькими разделами: [440, 974, 1030]"
271,УТ5,УТ5,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
273,УТ6,УТ6,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
277,УТ7,УТ7,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
281,УТ8,УТ8,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
285,УТ9,УТ9,single,"префикс «ут» встречается в нескольких вкладках (Камеры, Мет констр, Обвязка, Павильоны, Электрика) — не сужаю вслепую"
288,УТ4-УТ7,УТ4-УТ7,literal,"текст «УТ4-УТ7» совпал буквально с несколькими разделами: [439, 973, 1029]"
290,УТ7-УТ9,УТ7-УТ9,literal,"текст «УТ7-УТ9» совпал буквально с несколькими разделами: [440, 974, 1030]"
292,Прочие работы в рамках участка,Прочие работы в рамках участка,literal,"текст «Прочие работы в рамках участка» не найден ни буквально, ни без скобочного уточнения"
305,Обратная засыпка с планировкой территории (земляные работы),Обратная засыпка с планировкой территории (земляные работы),literal,"текст «Обратная засыпка с планировкой территории (земляные работы)» не найден ни буквально, ни без скобочного уточнения"
